Virus Name	Record ID	UniProt ID	ESMFold pLDDT	ColabFold pLDDT	Chosen Method	structure_file	protlen	Genome_composition	Kingdom	Phylum	Class	Order	Family	Genus	Species	Virus_names
human_associated_cyclovirus_6	ADD62472.1_5128	D4N3Q7	83.1	81.6	ESMFold	human_associated_cyclovirus_6_EF-ADD62472.1_5128_relaxed.pdb	218	ssDNA	Shotokuvirae	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	Cyclovirus	Cyclovirus mmadu	
human_associated_cyclovirus_6	ADD62471.1_5128	D4N3Q6	93.6	90.5	ESMFold	human_associated_cyclovirus_6_EF-ADD62471.1_5128_relaxed.pdb	281	ssDNA	Shotokuvirae	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	Cyclovirus	Cyclovirus mmadu	
torque_teno_virus_25	BAB19314.1_12542	Q9DUC3	52.1	62.4	ColabFold	torque_teno_virus_25_CF-BAB19314.1_12542_relaxed.pdb	86	ssDNA(-)					Anelloviridae	Alphatorquevirus	Alphatorquevirus cerco7	
torque_teno_virus_25	BAB19312.1_12542	Q9DUC5	34.5	70.2	ColabFold	torque_teno_virus_25_CF-BAB19312.1_12542_relaxed.pdb	136	ssDNA(-)					Anelloviridae	Alphatorquevirus	Alphatorquevirus cerco7	
torque_teno_virus_25	BAB19313.1_12542	Q9DUC4	51.3	79.7	ColabFold	torque_teno_virus_25_CF-BAB19313.1_12542_relaxed.pdb	723	ssDNA(-)					Anelloviridae	Alphatorquevirus	Alphatorquevirus cerco7	
human_papillomavirus_60	AAA79486.1_4731	Q80942	55.5	79.5	ColabFold	human_papillomavirus_60_CF-AAA79486.1_4731_relaxed.pdb	96	dsDNA	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 4	
human_papillomavirus_60	AAA79485.1_4731	Q80941	83.8	94.0	ColabFold	human_papillomavirus_60_CF-AAA79485.1_4731_relaxed.pdb	142	dsDNA	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 4	
human_papillomavirus_60	AAA79489.1_4731	Q80945	44.0	58.5	ColabFold	human_papillomavirus_60_CF-AAA79489.1_4731_relaxed.pdb	207	dsDNA	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 4	
human_papillomavirus_60	AAA79488.1_4731	Q80944	78.2	78.1	ESMFold	human_papillomavirus_60_EF-AAA79488.1_4731_relaxed.pdb	404	dsDNA	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 4	
human_papillomavirus_60	AAA79491.1_4731	P50821	26.6	85.8	ColabFold	human_papillomavirus_60_CF-AAA79491.1_4731_relaxed.pdb	508	dsDNA	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 4	
human_papillomavirus_60	AAA79490.1_4731	Q80946	36.9	61.1	ColabFold	human_papillomavirus_60_CF-AAA79490.1_4731_relaxed.pdb	525	dsDNA	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 4	
human_papillomavirus_60	AAA79487.1_4731	Q80943	78.7	77.2	ESMFold	human_papillomavirus_60_EF-AAA79487.1_4731_relaxed.pdb	610	dsDNA	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 4	
human_betaherpesvirus_6a;_human_herpesvirus_6a	SPC53497.1_118	A0A2N9DYZ4	61.7	80.8	ColabFold	human_betaherpesvirus_6a;_human_herpesvirus_6a_CF-SPC53497.1_118_relaxed.pdb	54	dsDNA	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta6a	
